1,10.2,2.1,2.3
2,10.4,2.3,5.8
3,10,2.6,1.8
4,1.7,1.7,1.8
5,6,2.5,6.2
6,11.6,0.4,8.4
7,4.8,3.9,1.8
8,7.9,1.3,0.2
9,9.4,1.3,0.4
10,5.2,2.5,7.7
11,6.3,2.3,6.6
12,1,0.5,1.9
13,9.6,2.5,5.5
14,8.9,3.6,5.9
15,0.9,2.6,3.3
16,1.9,1.5,4.4
17,4.3,2,3.4
18,9.8,0.4,3.1
19,3.2,2,3.6
20,3,4,4.3
21,1,2.4,6.2
22,9.7,0.5,9
23,3.2,3,2.5
24,7.8,3.4,9.7
25,2.6,2.2,7.5
26,3.5,2.1,7.9
27,11.7,3.7,0.1
28,2.8,2.8,8.9
29,6.2,0.7,1.1
30,1.7,3.2,10
31,7.9,2.6,5.6
32,1.6,1.6,5.4
33,9.7,3.2,9.9
34,3.6,2.6,9.7
35,11.9,2.6,2.7
36,9.2,2.1,3.7
37,9.4,1.8,2.2
38,5,1.5,8.5
39,10.1,3.9,9.3
40,1.8,0.9,4.9
41,8.9,0.1,1.2
42,10,1.3,9.1
43,11.7,3.6,1.1
44,3.1,0.6,5.8
45,8.5,1.4,6.3
46,3.8,0.4,4.3
47,2.6,1.4,6
48,5,3.8,3.6
49,5.3,2.7,3.7
50,9.4,2.1,7.6
51,9.2,0.3,1
52,1.8,4,6.3
53,6.4,3,9.4
54,4.5,0.3,4
55,0.8,2.9,3.4
56,10.8,3.8,0.5
57,5.7,2,9.6
58,2.5,3.6,6.8
59,6,2.7,3.2
60,11,0.9,7.7
61,4.3,3.8,0.7
62,6.9,0.5,3.3
63,2.2,0.8,4.1
64,4.9,1.6,9.3
65,7.4,3.1,8
66,6.7,3.3,7.9
67,10.6,1.5,8.1
68,0.8,2.7,5.9
69,3.5,3.9,8.5
70,3,1.1,3.1
71,4.8,2,6.1
72,4.2,0.3,9.7
73,6.7,1.3,2.7
74,3.4,1.6,1.2
75,10.4,3.4,10
76,6.1,1,3.3
77,1.5,0.9,3.6
78,9.6,1.2,7.1
79,3.9,2.6,9.5
80,9.1,1.8,7.4
81,6.8,0.3,5.1
82,5.2,0.8,2.2
83,2.8,0.6,10
84,3.7,2.5,9.9
85,1.7,2.7,0.8
86,9,0.1,6.4
87,10.5,0.5,3.9
88,3,2.3,2
89,4.1,3.5,5.2
90,3.3,2.5,3.2
91,7,0.9,6.1
92,0.3,3.4,1.7
93,11.6,1.8,7.3
94,9.2,2.9,9.1
95,10.5,3.6,5.1
96,3,1.2,3
97,3.1,4,4.9
98,3.1,3.2,5.6
99,2.8,0.6,9.7
100,3.8,1,8.2
