1,3,2,5
2,2,2,2
3,10,1,5
4,1,4,1
5,11,1,6
6,9,1,10
7,11,2,8
8,12,3,10
9,3,3,10
10,7,2,10
11,11,3,6
12,8,1,9
13,5,1,7
14,1,1,5
15,10,1,6
16,6,4,7
17,5,4,10
18,1,1,3
19,7,1,1
20,1,2,10
21,12,4,3
22,6,4,3
23,10,2,5
24,5,2,1
25,4,3,9
26,4,4,5
27,12,3,5
28,8,2,7
29,2,3,8
30,5,1,2
31,6,2,1
32,3,2,5
33,2,3,2
34,8,4,3
35,7,3,8
36,8,3,8
37,6,2,3
38,9,3,9
39,1,4,2
40,1,1,1
41,1,3,10
42,11,3,3
43,7,1,9
44,1,2,5
45,5,4,10
46,6,3,7
47,2,2,10
48,9,3,7
49,8,4,9
50,9,1,2
51,11,2,7
52,8,4,1
53,9,2,10
54,7,4,9
55,11,1,3
56,1,1,4
57,3,2,4
58,10,3,6
59,9,1,8
60,9,1,7
61,6,1,5
62,3,2,4
63,4,2,1
64,10,2,10
65,4,1,8
66,9,2,9
67,11,2,7
68,5,4,5
69,1,4,7
70,8,3,2
71,10,3,8
72,3,1,9
73,6,1,9
74,9,3,2
75,4,4,5
76,10,4,10
77,3,1,8
78,7,1,5
79,2,3,2
80,4,1,2
81,3,3,2
82,7,1,5
83,2,4,2
84,5,2,4
85,5,2,2
86,3,1,3
87,1,1,3
88,12,4,3
89,7,4,5
90,7,2,8
91,1,4,3
92,8,4,6
93,7,4,3
94,10,2,3
95,1,1,2
96,10,4,5
97,1,3,8
98,6,4,4
99,3,2,1
100,10,3,2
