1,7,2,3.8
2,6,3,9.8
3,10.6,2.8,7
4,5.8,3,7.4
5,11.2,1.6,2.3
6,11.3,0.1,7.6
7,6.8,2.8,2
8,6.8,2.6,2.1
9,2.9,0.3,5.4
10,0.9,3,6.6
11,6,1,8.3
12,0.5,4,0.5
13,7,2.5,7.3
14,1.2,3.4,1.4
15,0.1,0.9,6.5
16,3.4,2.5,9.5
17,9.5,0.9,3.4
18,10.4,3.6,8.7
19,2.6,3,3.7
20,6.3,1.5,6.4
21,0.5,3.2,3.8
22,4.6,0.2,6.7
23,3.4,3.5,5.7
24,11.4,1.4,7.9
25,2.5,1.8,3.9
26,7.2,3.8,4
27,7.7,1.7,0.2
28,11.5,3.7,2.3
29,6.4,0.1,2.9
30,10.4,1.5,8.9
31,7,3.8,5.8
32,11.6,0.1,7.6
33,2.6,3.6,0.3
34,3.8,3.9,3.7
35,6.8,3.3,8.9
36,9.8,0.8,3.9
37,7.3,0.9,8
38,7.7,0.4,8.4
39,7.8,2.6,2.5
40,0.6,1.7,4
41,0.2,1,6.5
42,2.3,0.8,0.8
43,2.9,0.9,0.1
44,7.4,3.5,7.2
45,6.5,1.7,6.4
46,6.4,2.2,7.1
47,7.8,3.3,8.4
48,0.4,1.3,1
49,8.9,3.5,7.2
50,8.4,0.4,4.7
51,8.3,3.7,3.3
52,9.7,0.3,4.8
53,3,0.4,8.5
54,2.1,1.8,4.8
55,3.7,2.1,5.8
56,9.3,3.6,2
57,8.3,0.1,2.8
58,3.5,3.2,2.1
59,11.5,3.6,3.4
60,10.5,0.2,8.1
61,9.2,0.7,5.2
62,7.5,0.1,4.3
63,7.2,2,1.3
64,9.4,2.8,10
65,0.4,3.8,9.7
66,7,3.6,1.4
67,10.6,2.9,6.9
68,8.2,3.4,6.3
69,8.8,3.4,5.9
70,8.7,1.6,5.2
71,1.4,3.8,0.2
72,6.1,1.7,7.3
73,10.2,1.8,5.7
74,6.3,1.4,1.5
75,0.7,0.8,5.1
76,1.7,1.1,8
77,8,1.1,3.6
78,6.8,1.4,8
79,5.1,2.3,6.7
80,1.7,1.5,0.7
81,6.4,1.1,2.6
82,4.8,1.2,8.4
83,9.5,0.1,3.3
84,10.7,0.5,5.6
85,5.1,0.3,4.5
86,9.5,1.7,9
87,8.3,1.4,1.4
88,3.2,2.6,0.4
89,5.5,2.7,0.2
90,3.8,3.6,6.4
91,0.9,1.6,0.8
92,8.2,0.8,8.8
93,8.7,3.2,7.7
94,6.7,1.3,9.5
95,6.4,0.6,3.8
96,1.7,2,1.3
97,9.4,3,3.2
98,1.3,4,7.8
99,7.1,3.9,3.9
100,6.3,1.9,1
